COLLCODE,COLL_NAME
1505,C.ABDUL HAKEEM COLLEGE OF ENGINEERING AND TECHNOLOGY
1507,GANADIPATHY TULSI'S JAIN ENGINEERING COLLEGE
1508,ARUNAI COLLEGE OF ENGINEERING
1509,MEENAKSHI COLLEGE OF ENGINEERING
1510,PRIYADARSHINI ENGINEERING COLLEGE
1511,RANIPPETTAI ENGINEERING COLLEGE
1512,S.K.P. ENGINEERING COLLEGE
1513,SRI BALAJI CHOCKALINGAM ENGINEERING COLLEGE
1514,SRI NANDHANAM COLLEGE OF ENGINEERING AND TECHNOLOGY
1516,THANTHAI PERIYAR GOVT INSTITUTE OF TECHNOLOGY
1517,THIRUMALAI ENGINEERING COLLEGE
1518,THIRUVALLUVAR COLLEGE OF ENGINEERING AND TECHNOLOGY
1519,BHARATHIDASAN ENGINEERING COLLEGE
1520,KINGSTON ENGINEERING COLLEGE
1521,SHRI SAPTHAGIRI INSTITUTE OF TECHNOLOGY
1523,GLOBAL INSTITUTE OF ENGINEERING AND TECHNOLOGY
1524,ANNAMALAIAR COLLEGE OF ENGINEERING
1525,PODHIGAI COLLEGE OF ENGINEERING AND TECHNOLOGY
1526,SRI KRISHNA COLLEGE OF ENGINEERING
1605,IDHAYA ENGINEERING COLLEGE FOR WOMEN
2005,"GOVERNMENT COLLEGE OF TECHNOLOGY (AUTONOMOUS), COIMBATORE"
2006,P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS)
2007,COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS)
2025,"ANNA UNIVERSITY REGIONAL CAMPUS, COIMBATORE"
2302,SRI SHANMUGHA COLLEGE OF ENGINEERING AND TECHNOLOGY
2314,MUTHAYAMMAL COLLEGE OF ENGINEERING
2327,N.S.N. COLLEGE OF ENGINEERING AND TECHNOLOGY
2328,K S R INSTITUTE FOR ENGINEERING AND TECHNOLOGY
2329,RATHINAM TECHNICAL CAMPUS
